Gacrhelia_678	c60341_g3_i16
Gacrhelia_679	c60341_g3_i17
Gacrhelia_680	c60392_g4_i1
Gacrhelia_681	c60392_g4_i2
Gacrhelia_682	c60392_g4_i3
Gacrhelia_683	c60392_g4_i4
Gacrhelia_684	c60392_g4_i5
Gacrhelia_685	c60329_g1_i1
Gacrhelia_686	c60329_g1_i2
Gacrhelia_687	c60329_g1_i3
Gacrhelia_688	c60329_g2_i1
Gacrhelia_689	c60964_g2_i1
Gacrhelia_690	c60964_g4_i1
Gacrhelia_691	c60964_g5_i2
Gacrhelia_692	c60964_g5_i5
Gacrhelia_693	c60964_g8_i1
Gacrhelia_694	c60447_g1_i1
Gacrhelia_695	c60447_g1_i2
Gacrhelia_696	c60447_g1_i3
Gacrhelia_697	c60765_g1_i5
Gacrhelia_698	c60258_g1_i1
Gacrhelia_699	c60258_g1_i2
